Market Segment,Holiday_Date,Day,Description,Weekend_Date,Day,Description,Calender_Date,Day
CM,26-Jan-21,Tuesday,Republic Day,02-Jan-21,Saturday,Weekend,01-Jan-21,Friday
CM,11-Mar-21,Thursday,Maha Shivaratri,03-Jan-21,Sunday,Weekend,02-Jan-21,Saturday
CM,02-Apr-21,Friday,Good Friday,09-Jan-21,Saturday,Weekend,03-Jan-21,Sunday
CM,14-Apr-21,Wednesday,Dr.Baba Saheb Ambedkar Jayanti,10-Jan-21,Sunday,Weekend,04-Jan-21,Monday
CM,21-Apr-21,Wednesday,Ram Navami,16-Jan-21,Saturday,Weekend,05-Jan-21,Tuesday
CM,13-May-21,Thursday,Id-ul-Fitr (Ramzan ID),17-Jan-21,Sunday,Weekend,06-Jan-21,Wednesday
CM,20-Jul-21,Tuesday,Bakri Id / Eid ul-Adha,23-Jan-21,Saturday,Weekend,07-Jan-21,Thursday
CM,19-Aug-21,Thursday,Muharram,24-Jan-21,Sunday,Weekend,08-Jan-21,Friday
CM,10-Sep-21,Friday,Ganesh Chaturthi,30-Jan-21,Saturday,Weekend,09-Jan-21,Saturday
CM,15-Oct-21,Friday,Dasara,31-Jan-21,Sunday,Weekend,10-Jan-21,Sunday
CM,20-Oct-21,Wednesday,Diwali-Laxmi Pujan**,06-Feb-21,Saturday,Weekend,11-Jan-21,Monday
CM,04-Nov-21,Thursday,Diwali-Balipratipada,07-Feb-21,Sunday,Weekend,12-Jan-21,Tuesday
,18-Nov-21,Thursday,Guru Nanak Jayanti,13-Feb-21,Saturday,Weekend,13-Jan-21,Wednesday
,,,,14-Feb-21,Sunday,Weekend,14-Jan-21,Thursday
,,,,20-Feb-21,Saturday,Weekend,15-Jan-21,Friday
,,,,21-Feb-21,Sunday,Weekend,16-Jan-21,Saturday
,,,,27-Feb-21,Saturday,Weekend,17-Jan-21,Sunday
,,,,28-Feb-21,Sunday,Weekend,18-Jan-21,Monday
,,,,06-Mar-21,Saturday,Weekend,19-Jan-21,Tuesday
,,,,07-Mar-21,Sunday,Weekend,20-Jan-21,Wednesday
,,,,13-Mar-21,Saturday,Weekend,21-Jan-21,Thursday
,,,,14-Mar-21,Sunday,Weekend,22-Jan-21,Friday
,,,,20-Mar-21,Saturday,Weekend,23-Jan-21,Saturday
,,,,21-Mar-21,Sunday,Weekend,24-Jan-21,Sunday
,,,,27-Mar-21,Saturday,Weekend,25-Jan-21,Monday
,,,,28-Mar-21,Sunday,Weekend,26-Jan-21,Tuesday
,,,,03-Apr-21,Saturday,Weekend,27-Jan-21,Wednesday
,,,,04-Apr-21,Sunday,Weekend,28-Jan-21,Thursday
,,,,10-Apr-21,Saturday,Weekend,29-Jan-21,Friday
,,,,11-Apr-21,Sunday,Weekend,30-Jan-21,Saturday
,,,,17-Apr-21,Saturday,Weekend,31-Jan-21,Sunday
,,,,18-Apr-21,Sunday,Weekend,01-Feb-21,Monday
,,,,24-Apr-21,Saturday,Weekend,02-Feb-21,Tuesday
,,,,25-Apr-21,Sunday,Weekend,03-Feb-21,Wednesday
,,,,01-May-21,Saturday,Weekend,04-Feb-21,Thursday
